Year_Month,Card Type,Travel_Mode,Trip
Jul-17,School Opal,Train,562500
Jul-17,School Opal,Bus,1298172
Jul-17,School Opal,Light Rail,2976
Jul-17,School Opal,Ferry,1043
Jul-17,Gold Opal,Train,2804836
Jul-17,Gold Opal,Bus,4020743
Jul-17,Gold Opal,Light Rail,135655
Jul-17,Gold Opal,Ferry,180265
Jul-17,Opal Single Ticket,Ferry,55823
Jul-17,Opal Single Ticket,Ferry,20097
Jul-17,Opal Single Ticket,Light Rail,4507
Jul-17,Opal Single Ticket,Light Rail,1486
Jul-17,Opal Single Ticket,Train,330262
Jul-17,Opal Single Ticket,Train,92187
Aug-17,Adult,Train,25596844
Aug-17,Adult,Bus,14614966
Aug-17,Adult,Light Rail,575024
Aug-17,Adult,Ferry,759500
Aug-17,Adult,Bus,152050
Aug-17,Adult,Bus,88604
Aug-17,Adult,Bus,33402
Aug-17,Child/Youth,Train,983919
Aug-17,Child/Youth,Bus,1129569
Aug-17,Child/Youth,Light Rail,33221
Aug-17,Child/Youth,Ferry,79252
Aug-17,Opal Single Ticket,Bus,37346
Aug-17,Opal Single Ticket,Bus,24122
Aug-17,Opal Single Ticket,Bus,6683
Aug-17,Concession,Train,2822581
Aug-17,Concession,Bus,2287083
Aug-17,Concession,Light Rail,33944
Aug-17,Concession,Ferry,27276
Aug-17,CTP,Ferry,1976
Aug-17,Day Pass Ticket,Train,9
Aug-17,Day Pass Ticket,Bus,7
Aug-17,Day Pass Ticket,Light Rail,3
Aug-17,Day Pass Ticket,Ferry,3
Aug-17,Day Pass Ticket,Train,18
Aug-17,Day Pass Ticket,Bus,15
Aug-17,Day Pass Ticket,Light Rail,2
Aug-17,Day Pass Ticket,Ferry,5
Aug-17,Other,Train,316870
Aug-17,Other,Bus,75220
Aug-17,Other,Ferry,4423
Aug-17,Free Opal,Train,34768
Aug-17,Free Opal,Bus,39408
Aug-17,Free Opal,Light Rail,840
Aug-17,Free Opal,Ferry,2045
Aug-17,School Opal,Train,1234164
Aug-17,School Opal,Bus,2871680
Aug-17,School Opal,Light Rail,7008
Aug-17,School Opal,Ferry,2206
Aug-17,Gold Opal,Train,2902953
Aug-17,Gold Opal,Bus,4196065
Aug-17,Gold Opal,Light Rail,125345
Aug-17,Gold Opal,Ferry,164130
Aug-17,Opal Single Ticket,Ferry,47631
Aug-17,Opal Single Ticket,Ferry,11008
Aug-17,Opal Single Ticket,Light Rail,4398
Aug-17,Opal Single Ticket,Light Rail,905
Aug-17,Opal Single Ticket,Train,329921
Aug-17,Opal Single Ticket,Train,63560
Sep-17,Adult,Train,24295203
Sep-17,Adult,Bus,13735459
Sep-17,Adult,Light Rail,557826
Sep-17,Adult,Ferry,810739
Sep-17,Adult,Bus,150254
Sep-17,Adult,Bus,85965
Sep-17,Adult,Bus,32005
Sep-17,Child/Youth,Train,1219264
Sep-17,Child/Youth,Bus,1264103
Sep-17,Child/Youth,Light Rail,36029
Sep-17,Child/Youth,Ferry,113007
Sep-17,Opal Single Ticket,Bus,45357
Sep-17,Opal Single Ticket,Bus,34037
Sep-17,Opal Single Ticket,Bus,9811
Sep-17,Concession,Train,2208678
Sep-17,Concession,Bus,1774365
Sep-17,Concession,Light Rail,29661
Sep-17,Concession,Ferry,27929
Sep-17,CTP,Ferry,2049
Sep-17,Day Pass Ticket,Train,28
Sep-17,Day Pass Ticket,Bus,31
Sep-17,Day Pass Ticket,Train,174
Sep-17,Day Pass Ticket,Bus,152
Sep-17,Day Pass Ticket,Ferry,1
Sep-17,Other,Train,284062
Sep-17,Other,Bus,70403
Sep-17,Other,Ferry,4735
Sep-17,Free Opal,Train,30029
Sep-17,Free Opal,Bus,37030
Sep-17,Free Opal,Light Rail,789
Sep-17,Free Opal,Ferry,2164
Sep-17,School Opal,Train,819372
Sep-17,School Opal,Bus,1932171
Sep-17,School Opal,Light Rail,4709
Sep-17,School Opal,Ferry,1626
Sep-17,Gold Opal,Train,2805731
Sep-17,Gold Opal,Bus,3987618
Sep-17,Gold Opal,Light Rail,130108
Sep-17,Gold Opal,Ferry,172131
Sep-17,Opal Single Ticket,Ferry,51151
Sep-17,Opal Single Ticket,Ferry,12129
Sep-17,Opal Single Ticket,Light Rail,4194
Sep-17,Opal Single Ticket,Light Rail,899
Sep-17,Opal Single Ticket,Train,330192
Sep-17,Opal Single Ticket,Train,74585
Oct-17,Adult,Train,25069317
Oct-17,Adult,Bus,14493838
Oct-17,Adult,Light Rail,628033
Oct-17,Adult,Ferry,897449
Oct-17,Adult,Bus,154191
Oct-17,Adult,Bus,88281
Oct-17,Adult,Bus,32576
Oct-17,Child/Youth,Train,1167816
Oct-17,Child/Youth,Bus,1262367
Oct-17,Child/Youth,Light Rail,38062
Oct-17,Child/Youth,Ferry,115643
Oct-17,Opal Single Ticket,Bus,42773
Oct-17,Opal Single Ticket,Bus,31260
Oct-17,Opal Single Ticket,Bus,8908
Oct-17,Concession,Train,2229618
Oct-17,Concession,Bus,1841943
Oct-17,Concession,Light Rail,30368
Oct-17,Concession,Ferry,25454
Oct-17,CTP,Ferry,2459
Oct-17,Day Pass Ticket,Train,7
Oct-17,Day Pass Ticket,Bus,20
Oct-17,Day Pass Ticket,Train,73
Oct-17,Day Pass Ticket,Bus,76
Oct-17,Day Pass Ticket,Ferry,1
Oct-17,Other,Train,285686
Oct-17,Other,Bus,71545
Oct-17,Other,Ferry,5098
Oct-17,Free Opal,Train,30517
Oct-17,Free Opal,Bus,39006
Oct-17,Free Opal,Light Rail,946
Oct-17,Free Opal,Ferry,2145
Oct-17,School Opal,Train,824499
Oct-17,School Opal,Bus,2060482
Oct-17,School Opal,Light Rail,4544
Oct-17,School Opal,Ferry,1718
Oct-17,Gold Opal,Train,2880156
Oct-17,Gold Opal,Bus,4107245
Oct-17,Gold Opal,Light Rail,144853
Oct-17,Gold Opal,Ferry,183390
Oct-17,Opal Single Ticket,Ferry,58384
Oct-17,Opal Single Ticket,Ferry,11756
Oct-17,Opal Single Ticket,Light Rail,4756
Oct-17,Opal Single Ticket,Light Rail,899
Oct-17,Opal Single Ticket,Train,351369
Oct-17,Opal Single Ticket,Train,71176
Nov-17,Adult,Train,25763265
Nov-17,Adult,Bus,14927209
Nov-17,Adult,Light Rail,649009
Nov-17,Adult,Ferry,901775
Nov-17,Adult,Bus,152433
Nov-17,Adult,Bus,86713
Nov-17,Adult,Bus,31905
Nov-17,Child/Youth,Train,1062144
Nov-17,Child/Youth,Bus,1175200
Nov-17,Child/Youth,Light Rail,35504
Nov-17,Child/Youth,Ferry,75010
Nov-17,Opal Single Ticket,Bus,36062
Nov-17,Opal Single Ticket,Bus,23996
Nov-17,Opal Single Ticket,Bus,6816
Nov-17,Concession,Train,1827754
Nov-17,Concession,Bus,1473370
Nov-17,Concession,Light Rail,31344
Nov-17,Concession,Ferry,24358
Nov-17,CTP,Ferry,2019
Nov-17,Day Pass Ticket,Train,2
Nov-17,Day Pass Ticket,Bus,1
Nov-17,Other,Train,300528
Nov-17,Other,Bus,74772
Nov-17,Other,Light Rail,2
Nov-17,Other,Ferry,5435
Nov-17,Free Opal,Train,32193
Nov-17,Free Opal,Bus,39917
Nov-17,Free Opal,Light Rail,937
Nov-17,Free Opal,Ferry,2330
Nov-17,School Opal,Train,1065221
Nov-17,School Opal,Bus,2589339
Nov-17,School Opal,Light Rail,5671
Nov-17,School Opal,Ferry,2444
Nov-17,Gold Opal,Train,2979774
Nov-17,Gold Opal,Bus,4269152
Nov-17,Gold Opal,Light Rail,146513
Nov-17,Gold Opal,Ferry,183905
Nov-17,Opal Single Ticket,Ferry,63149
Nov-17,Opal Single Ticket,Ferry,7171
Nov-17,Opal Single Ticket,Light Rail,5215
Nov-17,Opal Single Ticket,Light Rail,791
Nov-17,Opal Single Ticket,Train,366190
Nov-17,Opal Single Ticket,Train,60053
Dec-17,Adult,Train,22729922
Dec-17,Adult,Bus,13321082
Dec-17,Adult,Light Rail,643916
Dec-17,Adult,Ferry,1046211
Dec-17,Adult,Bus,158523
Dec-17,Adult,Bus,91020
Dec-17,Adult,Bus,33611
Dec-17,Child/Youth,Train,1423432
Dec-17,Child/Youth,Bus,1412859
Dec-17,Child/Youth,Light Rail,49043
Dec-17,Child/Youth,Ferry,146402
Dec-17,Opal Single Ticket,Bus,48701
Dec-17,Opal Single Ticket,Bus,38599
Dec-17,Opal Single Ticket,Bus,11737
Dec-17,Concession,Train,1406927
